sales_bedrooms,sales_month_year,sales_price,sales_zipcode,rent_bedrooms,rent_month_year,rent_zipcode,rent_inventory,rent_avg_price
5,31-03-2022,440183.56,99508,2,01-09-2020,99508,18,1165
5,31-03-2022,440183.56,99508,2,01-10-2020,99508,29,1157
5,31-03-2022,440183.56,99508,2,01-11-2020,99508,15,1094
5,31-03-2022,440183.56,99508,2,01-12-2020,99508,6,1150
5,31-03-2022,440183.56,99508,2,01-01-2021,99508,10,1246
5,31-03-2022,440183.56,99508,2,01-02-2021,99508,17,1130
5,31-03-2022,440183.56,99508,2,01-03-2021,99508,20,1245
5,31-03-2022,440183.56,99508,2,01-04-2021,99508,16,1278
5,31-03-2022,440183.56,99508,2,01-05-2021,99508,11,1360
5,31-03-2022,440183.56,99508,4,30-06-2025,99508,,2797.5
5,31-03-2022,440183.56,99508,2,01-06-2021,99508,11,1460
5,31-03-2022,440183.56,99508,2,01-08-2021,99508,10,1355
5,31-03-2022,440183.56,99508,2,01-09-2021,99508,17,1182
5,31-03-2022,440183.56,99508,2,01-10-2021,99508,12,1241
5,31-03-2022,440183.56,99508,2,01-11-2021,99508,9,1177
5,31-03-2022,440183.56,99508,2,01-12-2021,99508,7,1389
5,31-03-2022,440183.56,99508,2,01-01-2022,99508,12,1315
5,31-03-2022,440183.56,99508,2,01-02-2022,99508,12,1281
5,31-03-2022,440183.56,99508,2,01-03-2022,99508,13,1454
5,31-03-2022,440183.56,99508,2,01-04-2022,99508,12,1408
5,31-03-2022,440183.56,99508,2,01-05-2022,99508,9,1445
5,31-03-2022,440183.56,99508,2,01-06-2022,99508,15,1538
5,31-03-2022,440183.56,99508,2,01-07-2022,99508,14,1462
5,31-03-2022,440183.56,99508,2,01-08-2022,99508,12,1501
5,31-03-2022,440183.56,99508,2,01-09-2022,99508,16,1443
5,31-03-2022,440183.56,99508,2,01-10-2022,99508,18,1466
5,31-03-2022,440183.56,99508,2,01-11-2022,99508,20,1397
5,31-03-2022,440183.56,99508,2,01-12-2022,99508,16,1475
5,31-03-2022,440183.56,99508,2,01-01-2023,99508,26,1353
5,31-03-2022,440183.56,99508,2,01-02-2023,99508,33,1339
5,31-03-2022,440183.56,99508,2,01-03-2023,99508,26,1335
5,31-03-2022,440183.56,99508,2,01-04-2023,99508,52,1431
5,31-03-2022,440183.56,99508,2,01-05-2023,99508,51,1418
5,31-03-2022,440183.56,99508,2,01-06-2023,99508,25,1504
5,31-03-2022,440183.56,99508,2,01-07-2023,99508,29,1610
5,31-03-2022,440183.56,99508,2,01-08-2023,99508,22,1797
5,31-03-2022,440183.56,99508,2,01-09-2023,99508,32,1732
5,31-03-2022,440183.56,99508,2,01-10-2023,99508,25,1632
5,31-03-2022,440183.56,99508,2,01-11-2023,99508,26,1588
5,31-03-2022,440183.56,99508,2,01-12-2023,99508,26,1608
5,31-03-2022,440183.56,99508,2,01-01-2024,99508,27,1569
5,31-03-2022,440183.56,99508,2,01-02-2024,99508,24,1546
5,31-03-2022,440183.56,99508,2,01-03-2024,99508,28,1627
5,31-03-2022,440183.56,99508,2,01-04-2024,99508,24,1637
5,31-03-2022,440183.56,99508,2,01-05-2024,99508,22,1638
5,31-03-2022,440183.56,99508,2,01-06-2024,99508,27,1661
5,31-03-2022,440183.56,99508,2,01-07-2024,99508,16,1648
5,31-03-2022,440183.56,99508,3,01-09-2018,99508,12,1433
5,31-03-2022,440183.56,99508,3,01-10-2018,99508,18,1426
5,31-03-2022,440183.56,99508,3,01-11-2018,99508,14,1420
5,31-03-2022,440183.56,99508,3,01-12-2018,99508,12,1338
5,31-03-2022,440183.56,99508,3,01-01-2019,99508,10,1383
5,31-03-2022,440183.56,99508,3,01-02-2019,99508,15,1477
5,31-03-2022,440183.56,99508,3,01-03-2019,99508,14,1591
5,31-03-2022,440183.56,99508,3,01-04-2019,99508,11,1564
5,31-03-2022,440183.56,99508,3,01-05-2019,99508,15,1363
5,31-03-2022,440183.56,99508,3,01-06-2019,99508,17,1487
5,31-03-2022,440183.56,99508,3,01-07-2019,99508,21,1492
5,31-03-2022,440183.56,99508,3,01-08-2019,99508,16,1469
5,31-03-2022,440183.56,99508,3,01-09-2019,99508,19,1505
5,31-03-2022,440183.56,99508,3,01-10-2019,99508,18,1390
